"site_code","site_id","sample_year","location","treatment","shannon","pielou","richness","abundance"
"RPC318","RPC3",2018,"Rondeau","Control",0.0085928095442824,0.00782151231413932,3,99.9001996
"RPC418","RPC4",2018,"Rondeau","Control",0.210581151229553,0.191679224237378,3,94.955044955
"RPC518","RPC5",2018,"Rondeau","Control",0.191444081971996,0.276195427668539,2,99.90485252
"RPC618","RPC6",2018,"Rondeau","Control",0.00429842697034964,0.0062013192737468,2,99.900149772
"RPC718","RPC7",2018,"Rondeau","Control",0.434805440194878,0.270159809729648,5,90.00999001
"RPC818","RPC8",2018,"Rondeau","Control",0.366898216007514,0.204769793216488,6,90.01996008
"RPC918","RPC9",2018,"Rondeau","Control",0.425848449251595,0.38762396310701,3,94.687006838
"RPC1618","RPC16",2018,"Rondeau","Treatment",1.04801729471829,0.755984676927975,4,40.02998501
"RPT2118","RPT21",2018,"Rondeau","Treatment",0.00429842697190257,0.0062013192759872,2,95.195052329
"RPT2218","RPT22",2018,"Rondeau","Treatment",0,NA,1,89.95502249
"RPT2318","RPT23",2018,"Rondeau","Treatment",0,NA,1,89.95502249
"RPT2418","RPT24",2018,"Rondeau","Treatment",0,NA,1,89.95502249
"RPT2518","RPT25",2018,"Rondeau","Treatment",0,NA,1,0.049975012
"RPT2618","RPT26",2018,"Rondeau","Treatment",0.562335144633228,0.811278124479936,2,38.095238094
"RPT2718","RPT27",2018,"Rondeau","Treatment",1.11723964738884,0.805918049386206,4,14.319695529
"RPT2818","RPT28",2018,"Rondeau","Treatment",0.470686310663064,0.428437143401787,3,80.922930539
"RPT2918","RPT29",2018,"Rondeau","Treatment",0.376770161265563,0.543564443212762,2,79.960019989
"RPT3018","RPT30",2018,"Rondeau","Treatment",0,NA,1,69.96501749
"RPT3118","RPT31",2018,"Rondeau","Treatment",0,NA,1,89.95502249
"RPT3218","RPT32",2018,"Rondeau","Treatment",0.944508797873643,0.68131907938415,4,45.004995015
"RPT3318","RPT33",2018,"Rondeau","Treatment",0,NA,1,4.761904762
"RPT3418","RPT34",2018,"Rondeau","Treatment",0.882310924515076,0.803114013575012,3,75
"RPT3518","RPT35",2018,"Rondeau","Treatment",0,NA,1,50
"RPT3618","RPT36",2018,"Rondeau","Treatment",0,NA,1,4.761904762
"RPT3718","RPT37",2018,"Rondeau","Treatment",0.0555460755349316,0.0801360477150896,2,5.312993162
"RPT3818","RPT38",2018,"Rondeau","Treatment",0.348832095821467,0.503258334744535,2,42.857142862
"RPT3918","RPT39",2018,"Rondeau","Treatment",0.522562497227889,0.324686335018397,5,50.074887672
"RPT4018","RPT40",2018,"Rondeau","Treatment",0,NA,1,30
"LPC2119","LPC21",2019,"Long Point","Control",0.795257726359697,0.494121407365728,5,90.009990015
"LPC2219","LPC22",2019,"Long Point","Control",0.290630070471755,0.162203730725624,6,74.76022211
"LPC2319","LPC23",2019,"Long Point","Control",0.136611643105106,0.0985444700177144,4,80.401763836
"LPC2419","LPC24",2019,"Long Point","Control",0.31176154419018,0.283777586875658,3,75.24752475
"LPC2519","LPC25",2019,"Long Point","Control",0.0902208480914904,0.0821225549924156,3,67.051070841
"LPC2619","LPC26",2019,"Long Point","Control",0.925701911121967,0.667752778258549,4,90
"LPC2719","LPC27",2019,"Long Point","Control",0.592689736545253,0.539489447422615,3,55.022488762
"LPC2819","LPC28",2019,"Long Point","Control",0,NA,1,70
"LPC2919","LPC29",2019,"Long Point","Control",0.223718076065834,0.322756958897398,2,85
"LPC3019","LPC30",2019,"Long Point","Control",0.00523302395410664,0.00754965770744281,2,79.97002997
"LPC3119","LPC31",2019,"Long Point","Control",0.468357130150487,0.337848254516547,4,80.009995
"LPC3219","LPC32",2019,"Long Point","Control",0.289216335263684,0.208625486314499,4,85.155863431
"LPC3319","LPC33",2019,"Long Point","Control",0.478362628285938,0.435424428818174,3,70.297029699
"LPC3419","LPC34",2019,"Long Point","Control",0.23338039584741,0.168348369864881,4,41.205291526
"LPC3519","LPC35",2019,"Long Point","Control",0.31176154419018,0.283777586875658,3,75.24752475
"LPC3619","LPC36",2019,"Long Point","Control",0.0716566965038443,0.0652247360082932,3,80.207817909
"LPC3719","LPC37",2019,"Long Point","Control",0.351531233332341,0.253576183523075,4,65.363681341
"LPC3819","LPC38",2019,"Long Point","Control",0.0740225961560933,0.106792032388122,2,70.2970297
"LPC3919","LPC39",2019,"Long Point","Control",0.343961907896067,0.248116069388181,4,85.294117648
